Facility,Date,Year,Wx,Vol,Eqpt,Rwy,Other,Other,Other,Total
BOS,2021-09-01,2021,7,0,0,5,0,1,5,18
BOS,2021-10-01,2021,1,3,0,0,0,0,0,4
BOS,2021-11-01,2021,1,0,0,0,0,0,1,2
BOS,2021-12-01,2021,0,0,0,0,0,0,4,4
BOS,2022-01-01,2022,2,0,0,0,0,1,11,14
BOS,2022-02-01,2022,11,2,0,0,0,0,3,16
BOS,2022-03-01,2022,16,0,0,0,0,6,15,37
BOS,2022-04-01,2022,17,1,0,0,0,12,2,32
BOS,2022-05-01,2022,43,9,0,0,0,12,6,70
BOS,2022-06-01,2022,69,27,0,0,2,13,6,117
BOS,2022-07-01,2022,79,10,0,0,0,4,2,95
BOS,2022-08-01,2022,64,4,0,0,11,14,7,100
BOS,2022-09-01,2022,17,5,1,3,0,0,1,27
BOS,2022-10-01,2022,16,4,0,0,0,5,0,25
BOS,2022-11-01,2022,7,1,0,0,0,1,20,29
BOS,2022-12-01,2022,3,0,0,0,0,1,3,7
BOS,2023-01-01,2023,14,2,17,0,0,6,0,39
BOS,2023-02-01,2023,5,0,0,0,0,0,1,6
BOS,2023-03-01,2023,5,0,0,0,0,1,1,7
BOS,2023-04-01,2023,15,3,0,1,0,2,3,24
BOS,2023-05-01,2023,0,0,0,0,0,0,0,0
BOS,2023-06-01,2023,73,3,0,0,1,5,6,88
BOS,2023-07-01,2023,243,12,0,3,0,9,9,276
BOS,2023-08-01,2023,20,3,1,1,0,2,0,27
BOS,2023-09-01,2023,151,9,0,2,0,13,5,180
BOS,2023-10-01,2023,0,0,0,0,0,0,0,0
BOS,2023-11-01,2023,0,0,0,0,0,0,0,0
BOS,2023-12-01,2023,12,10,0,0,0,0,1,23
BOS,2024-01-01,2024,28,4,0,1,0,1,10,44
BOS,2024-02-01,2024,3,2,0,0,0,0,21,26
BOS,2024-03-01,2024,0,0,0,0,0,0,1,1
BOS,2024-04-01,2024,21,1,0,0,0,4,3,29
BOS,2024-05-01,2024,10,0,0,0,1,1,1,13
BOS,2024-06-01,2024,51,8,0,0,0,3,5,67
BOS,2024-07-01,2024,28,1,0,1,1,7,3,41
BOS,2024-08-01,2024,175,8,1,2,2,5,2,195
BOS,2024-09-01,2024,0,0,0,0,0,0,0,0
BOS,2024-10-01,2024,2,0,0,0,0,0,2,4
BOS,2024-11-01,2024,0,0,0,0,0,0,0,0
BOS,2024-12-01,2024,25,1,0,0,1,0,4,31
BWI,2015-01-01,2015,1,0,0,0,0,1,2,4
BWI,2015-02-01,2015,1,0,0,0,0,1,4,6
BWI,2015-03-01,2015,4,0,0,3,0,0,0,7
BWI,2015-04-01,2015,0,0,0,2,0,0,0,2
BWI,2015-05-01,2015,2,1,0,0,0,0,1,4
BWI,2015-06-01,2015,7,0,0,0,0,1,0,8
BWI,2015-07-01,2015,6,0,0,0,0,0,0,6
BWI,2015-08-01,2015,6,6,51,1,1,2,3,70
BWI,2015-09-01,2015,3,1,0,0,0,5,0,9
BWI,2015-10-01,2015,2,0,0,2,0,0,0,4
BWI,2015-11-01,2015,5,0,1,0,1,0,0,7
BWI,2015-12-01,2015,2,0,0,0,0,0,0,2
BWI,2016-01-01,2016,1,0,0,0,0,1,2,4
BWI,2016-02-01,2016,8,0,0,0,0,0,0,8
BWI,2016-03-01,2016,2,0,0,0,0,0,0,2
BWI,2016-04-01,2016,1,0,0,0,0,0,0,1
BWI,2016-05-01,2016,2,0,0,0,0,0,0,2
BWI,2016-06-01,2016,10,1,0,0,0,0,1,12
BWI,2016-07-01,2016,10,3,0,1,0,2,2,18
BWI,2016-08-01,2016,2,1,0,0,0,2,8,13
BWI,2016-09-01,2016,1,0,0,1,0,0,0,2
BWI,2016-10-01,2016,1,0,0,0,0,0,0,1
BWI,2016-11-01,2016,0,0,0,0,0,0,0,0
BWI,2016-12-01,2016,1,0,0,0,0,1,0,2
BWI,2017-01-01,2017,3,0,0,0,0,0,2,5
BWI,2017-02-01,2017,3,0,0,0,0,0,0,3
BWI,2017-03-01,2017,10,0,0,0,0,0,2,12
BWI,2017-04-01,2017,0,0,0,0,0,0,0,0
BWI,2017-05-01,2017,7,1,0,4,0,0,0,12
BWI,2017-06-01,2017,33,2,0,13,0,3,7,58
BWI,2017-07-01,2017,25,4,26,0,0,3,4,62
BWI,2017-08-01,2017,45,9,0,2,1,17,46,120
BWI,2017-09-01,2017,2,0,0,0,0,2,2,6
BWI,2017-10-01,2017,8,1,0,0,0,0,1,10
BWI,2017-11-01,2017,4,0,0,0,0,0,0,4
BWI,2017-12-01,2017,2,1,0,0,5,2,1,11
BWI,2018-01-01,2018,11,0,0,0,1,2,2,16
