Year,Loc,Tot.Delays,Tot.Avg.Min,Tot.Tot.Min,Weather.Delays,Weather.Avg.Min,Weather.Tot.Min,Vol.Delays,Vol.Avg.Min,Vol.Tot.Min,Equip.Delays,Equip.Avg.Min,Equip.Tot.Min,Runway.Delays,Runway.Avg.Min,Runway.Tot.Min,Other.Delays,Other.Avg.Min,Other.Tot.Min
2021,IAH,2975,59,174372,2605,64,165423,260,24,6366,2,16,31,100,24,2390,8,20,162
2021,JFK,950,56,53167,696,68,47255,201,23,4614,0,0,0,44,23,1018,9,31,280
2021,LAS,7542,34,257966,1926,53,102287,4813,29,139581,0,0,0,499,19,9651,304,21,6447
2021,LAX,2092,24,50628,514,29,14734,933,21,19696,0,0,0,537,25,13467,108,25,2731
2021,LGA,1468,50,72997,875,67,58868,561,24,13371,0,0,0,28,19,523,4,59,235
2021,MCO,716,62,44690,350,60,21002,21,53,1103,0,0,0,0,0,0,345,65,22585
2021,MDW,127,41,5159,107,44,4729,10,23,234,1,20,20,0,0,0,9,20,176
2021,MEM,219,39,8482,114,48,5460,105,29,3022,0,0,0,0,0,0,0,0,0
2021,MIA,3088,24,75017,889,30,26696,2038,21,43525,4,94,376,40,19,756,117,31,3664
2021,MSP,158,39,6093,136,41,5510,16,22,353,1,17,17,0,0,0,5,43,213
2021,ORD,9476,68,644532,7614,79,604869,1539,21,31910,0,0,0,122,21,2556,201,26,5197
2021,PHL,2526,49,124887,1965,58,113510,389,20,7649,5,21,105,91,23,2106,76,20,1517
2021,PHX,2789,24,66185,1187,30,35482,1436,19,27329,0,0,0,140,20,2744,26,24,630
2021,SAN,384,24,9174,93,33,3112,187,20,3712,4,17,67,34,26,867,66,21,1416
2021,SEA,2245,29,66117,1157,37,43269,1013,21,21393,0,0,0,37,20,739,38,19,716
2021,SFO,3175,31,99503,1414,36,50422,321,25,8113,0,0,0,1342,29,38833,98,22,2135
2021,SLC,316,31,9701,125,39,4890,128,21,2682,0,0,0,60,34,2060,3,23,69
2021,TPA,522,40,20756,253,42,10672,190,29,5437,0,0,0,15,29,428,64,66,4219
Sub-Total for 2021,,79809,48,3820832,44562,64,2832033,21053,24,500104,67,31,2071,10119,33,338077,4008,37,148547
2022,ATL,1633,34,56101,1129,39,44426,358,22,7972,1,15,15,128,25,3210,17,28,478
2022,BOS,4856,54,263686,4541,55,248832,148,34,4976,82,84,6867,34,41,1393,51,32,1618
2022,BWI,272,78,21105,254,81,20598,9,28,255,0,0,0,1,27,27,8,28,225
2022,CLT,2346,32,73981,1040,40,41279,969,21,20455,173,50,8581,96,23,2229,68,21,1437
2022,DCA,5388,45,243178,2798,58,161409,1931,25,49029,0,0,0,335,65,21683,324,34,11057
2022,DEN,5356,43,227791,3981,46,182818,453,23,10591,526,37,19305,170,40,6860,226,36,8217
2022,DFW,4200,55,230631,2818,67,188020,417,21,8691,72,34,2480,274,43,11669,619,32,19771
2022,DTW,207,46,9569,169,52,8736,23,23,523,0,0,0,11,21,235,4,19,75
2022,EWR,16547,63,1047355,12957,66,858566,1504,33,49392,0,0,0,433,69,30042,1653,66,109355
2022,FLL,718,40,28562,444,50,22301,229,23,5194,0,0,0,38,21,783,7,41,284
2022,HNL,132,34,4432,0,0,0,0,0,0,0,0,0,123,34,4174,9,29,258
2022,IAD,551,53,29216,329,72,23711,126,23,2913,7,26,184,36,23,832,53,30,1576
2022,IAH,1685,47,79396,1190,57,68219,99,26,2540,0,0,0,394,22,8570,2,34,67
2022,JFK,5494,54,295945,3736,65,242131,1196,27,32102,7,20,140,165,20,3294,390,47,18278
2022,LAS,16996,37,634814,7815,48,375810,3938,26,102862,0,0,0,4427,30,134548,816,26,21594
2022,LAX,1997,22,43453,93,20,1884,1102,21,23034,8,17,134,608,22,13279,186,28,5122
2022,LGA,20114,59,1176706,15328,68,1037118,4053,24,96625,0,0,0,52,22,1129,681,61,41834
2022,MCO,1042,65,68063,846,74,62470,98,30,2912,0,0,0,42,18,768,56,34,1913
2022,MDW,225,52,11679,168,60,10147,33,27,882,1,28,28,4,27,106,19,27,516
